Titulo,Autor,Ano,Genero
Libro1,oaa,2000,Novela
Fundación,Isaac Asimov,1968,Ciencia Ficcion
1984,George Orwell,1949,Distopia
Cien años de soledad,Gabriel García Márquez,1967,Realismo Magico
El Hobbit,J.R.R. Tolkien,1937,Fantasia
Don Quijote de la Mancha,Miguel de Cervantes,1605,Novela
Crimen y castigo,Fyodor Dostoevsky,1866,Ciencia Ficcion
Matar a un ruiseñor,Harper Lee,1960,Distopia
Orgullo y prejuicio,Jane Austen,1813,Realismo Magico
El gran Gatsby,F. Scott Fitzgerald,1925,Fantasia
La Odisea,Homero,-800,Novela
El nombre de la rosa,Umberto Eco,1980,Ciencia Ficcion
Los pilares de la tierra,Ken Follett,1989,Distopia
La sombra del viento,Carlos Ruiz Zafón,2001,Realismo Magico
El código Da Vinci,Dan Brown,2003,Fantasia
Juego de Tronos,George R.R. Martin,1996,Novela
El señor de los anillos,J.R.R. Tolkien,1954,Ciencia Ficcion
Harry Potter y la piedra filosofal,J.K. Rowling,1997,Distopia
El alquimista,Paulo Coelho,1988,Realismo Magico
Cumbres borrascosas,Emily Brontë,1847,Fantasia
Las aventuras de Sherlock Holmes,Arthur Conan Doyle,1892,Novela
Drácula,Bram Stoker,1897,Ciencia Ficcion
Frankenstein,Mary Shelley,1818,Distopia
La divina comedia,Dante Alighieri,1320,Realismo Magico
Ulises,James Joyce,1922,Fantasia
Moby Dick,Herman Melville,1851,Novela
La isla del tesoro,Robert Louis Stevenson,1883,Ciencia Ficcion
La metamorfosis,Franz Kafka,1915,Distopia
Los miserables,Victor Hugo,1862,Realismo Magico
Anna Karenina,Leo Tolstoy,1877,Fantasia
Lolita,Vladimir Nabokov,1955,Novela
